,time_of_insert,time_of_merge,time_of_quick,time_of_heap,time_of_counting
0,0.0,0.0,0.0,0.0,0.003993511199951172
1,0.0,0.0,0.0,0.0,0.0029976367950439453
2,0.0,0.0,0.0,0.0,0.0029952526092529297
3,0.0,0.0,0.0,0.0,0.0039937496185302734
4,0.0,0.0,0.0,0.0,0.002995014190673828
5,0.0009982585906982422,0.0,0.0,0.0,0.002995014190673828
6,0.0,0.0009984970092773438,0.0,0.0,0.0029952526092529297
7,0.0,0.0,0.0009982585906982422,0.0,0.0029954910278320312
8,0.0,0.0,0.0,0.0,0.0029954910278320312
9,0.0,0.0009982585906982422,0.0,0.0,0.0029952526092529297
10,0.0009982585906982422,0.0,0.0,0.0,0.0029952526092529297
11,0.0,0.0,0.0,0.0,0.003993988037109375
12,0.0,0.0,0.0,0.0,0.0029954910278320312
13,0.0,0.0009987354278564453,0.0,0.0,0.0029947757720947266
14,0.0009982585906982422,0.0,0.0,0.0,0.0039937496185302734
15,0.0,0.0009982585906982422,0.0,0.0,0.0039937496185302734
16,0.0,0.0,0.0009984970092773438,0.0,0.0029952526092529297
17,0.0009982585906982422,0.0,0.0,0.0,0.002995014190673828
18,0.0009987354278564453,0.0,0.0,0.0,0.003993511199951172
19,0.0009984970092773438,0.0,0.0,0.0,0.0029952526092529297
20,0.0009982585906982422,0.0,0.0,0.0,0.0029942989349365234
21,0.0009984970092773438,0.0,0.0009982585906982422,0.0,0.002995729446411133
22,0.0009980201721191406,0.0,0.0,0.0,0.00399327278137207
23,0.0,0.0009984970092773438,0.0,0.0,0.0039937496185302734
24,0.0009982585906982422,0.0,0.0009987354278564453,0.0,0.0029947757720947266
25,0.0,0.0009984970092773438,0.0,0.0,0.003993511199951172
26,0.0009987354278564453,0.0009980201721191406,0.0,0.0,0.003993511199951172
27,0.0009984970092773438,0.0,0.0009987354278564453,0.0,0.002995014190673828
28,0.0009984970092773438,0.0,0.0009984970092773438,0.0,0.002995014190673828
29,0.0009984970092773438,0.0,0.0009984970092773438,0.0,0.003993511199951172
30,0.0009987354278564453,0.0009980201721191406,0.0,0.0,0.0039937496185302734
31,0.0009984970092773438,0.0009982585906982422,0.0,0.0,0.002995014190673828
32,0.001996278762817383,0.0,0.0,0.0,0.003993511199951172
33,0.0009987354278564453,0.0,0.0009987354278564453,0.0,0.002995014190673828
34,0.0009982585906982422,0.0009982585906982422,0.0,0.0009984970092773438,0.0029952526092529297
35,0.0019965171813964844,0.0009984970092773438,0.0,0.0,0.0029954910278320312
36,0.0019969940185546875,0.0009980201721191406,0.0,0.0,0.0029952526092529297
37,0.0019969940185546875,0.0009982585906982422,0.0009984970092773438,0.0,0.003993511199951172
38,0.001996755599975586,0.0,0.0,0.0,0.003993511199951172
39,0.0019969940185546875,0.0009980201721191406,0.0,0.0,0.002995014190673828
40,0.0009987354278564453,0.0,0.0009982585906982422,0.0,0.003993511199951172
41,0.0019969940185546875,0.0009984970092773438,0.0009984970092773438,0.0,0.003993511199951172
42,0.001996755599975586,0.0009984970092773438,0.0,0.0,0.0029954910278320312
